Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
MESH-D015266	Carcinoma, Merkel Cell					HP:0100634	Neuroendocrine neoplasm			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1954.4874359714536/299).	PMID:15173660;PMID:10839616;PMID:15586604;PMID:19296059;PMID:17550389	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0000718	Aggressive behavior			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1550.8968576149057/436).	PMID:2757407;PMID:2031881;PMID:21734578;PMID:15586604;PMID:10640935	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0008069	Neoplasm of the skin			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 765.4906547699223/107).	PMID:2620438;PMID:2031881;PMID:10733680;PMID:8806960;PMID:7661558	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0002861	Melanoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 650.1856251603637/157).	PMID:11283937;PMID:21763561;PMID:21081931;PMID:15095915;PMID:19114864	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0002860	Squamous cell carcinoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 373.20934161079396/99).	PMID:10839616;PMID:15627087;PMID:8239750;PMID:23369588;PMID:18386140	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0002671	Basal cell carcinoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 360.2834033580236/62).	PMID:10839616;PMID:14984578;PMID:21763561;PMID:20432739;PMID:9823596	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0002665	Lymphoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 281.04827782174016/83).	PMID:2170468;PMID:9005817;PMID:23520680;PMID:22331952;PMID:18480005	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0100646	Thyroiditis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 128.6957262346754/33).	PMID:14984578;PMID:16625069;PMID:19335694;PMID:10386710;PMID:22204708	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0011850	Parotitis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 124.28325025514926/22).	PMID:18552007;PMID:3064273;PMID:22204708;PMID:7621723;PMID:11570212	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0002835	Aspiration			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 114.59418773131894/28).	PMID:8806960;PMID:20432739;PMID:8239750;PMID:7621723;PMID:23106631	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0005550	Chronic lymphatic leukemia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 105.23929036740978/18).	PMID:22331952;PMID:21029527;PMID:14663367;PMID:21631636;PMID:18280333	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0100570	Carcinoid			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 98.03697701401057/18).	PMID:8725546;PMID:15832095;PMID:1969730;PMID:7908199;PMID:20737151	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0100242	Sarcoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 79.11052949045363/17).	PMID:19137462;PMID:21870327;PMID:14961973;PMID:9793201;PMID:2091010	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0002721	Immunodeficiency			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 77.82925471371892/20).	PMID:15627087;PMID:11853800;PMID:14663367;PMID:11005357;PMID:21482890	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0100726	Kaposi's sarcoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 74.73634485422708/13).	PMID:21763561;PMID:8239750;PMID:19774683;PMID:20709518;PMID:21418174	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0003006	Neuroblastoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 72.28520560039391/14).	PMID:9576574;PMID:21870327;PMID:12673561;PMID:1676609;PMID:16456848	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0001324	Muscle weakness			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 68.79217014586769/16).	PMID:8187594;PMID:8721444;PMID:2668940;PMID:22765016;PMID:18084259	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0006739	Squamous cell carcinoma of the skin			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 58.86125685489211/7).	PMID:11283937;PMID:9625025;PMID:20090766;PMID:1683394;PMID:17141071	HPO	11.05.2015
MESH-D015266	Carcinoma, Merkel Cell					HP:0003002	Breast carcinoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 54.0835563863235/17).	PMID:10386710;PMID:9701020;PMID:11745244;PMID:21870327;PMID:16837628	HPO	11.05.2015
