Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
DOID-DOID:0004441	Dysgerminoma					HP:0100621	Dysgerminoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 3634.6055924559514472). MESHID: D004407	PMID:21225934; PMID:22268289; PMID:15863182; PMID:7370955; PMID:7683015	HPO	11.05.2015
DOID-DOID:0004441	Dysgerminoma					HP:0010788	Testicular neoplasm			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1897.53431196249302). MESHID: D004407	PMID:8383368; PMID:8383367; PMID:3529957; PMID:3606949; PMID:7370958	HPO	11.05.2015
DOID-DOID:0004441	Dysgerminoma					HP:0009792	Teratoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1865.382210151783330). MESHID: D004407	PMID:7370955; PMID:3618218; PMID:7681619; PMID:2457657; PMID:3606950	HPO	11.05.2015
DOID-DOID:0004441	Dysgerminoma					HP:0100617	Testicular seminoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1736.5571044722192218). MESHID: D004407	PMID:7281474; PMID:3399714; PMID:3282091; PMID:157614; PMID:2364633	HPO	11.05.2015
DOID-DOID:0004441	Dysgerminoma					HP:0000150	Gonadoblastoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1451.087520395305174). MESHID: D004407	PMID:21225934; PMID:7193412; PMID:1242581; PMID:3503713; PMID:1015678	HPO	11.05.2015
DOID-DOID:0004441	Dysgerminoma					HP:0100620	Germinoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1409.591265365775190). MESHID: D004407	PMID:515923; PMID:1509343; PMID:6483157; PMID:7681619; PMID:1690312	HPO	11.05.2015
DOID-DOID:0004441	Dysgerminoma					HP:0100768	Choriocarcinoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 886.5165943993748140). MESHID: D004407	PMID:21225934; PMID:6280859; PMID:157614; PMID:2153431; PMID:63968	HPO	11.05.2015
DOID-DOID:0004441	Dysgerminoma					HP:0000133	Gonadal dysgenesis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 874.7857066419491111). MESHID: D004407	PMID:21225934; PMID:22268289; PMID:7380238; PMID:23518911; PMID:1478624	HPO	11.05.2015
DOID-DOID:0004441	Dysgerminoma					HP:0000028	Cryptorchidism			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 672.478451807998598). MESHID: D004407	PMID:6103979; PMID:2872394; PMID:2868770; PMID:1723958; PMID:6105754	HPO	11.05.2015
DOID-DOID:0004441	Dysgerminoma					HP:0010799	Pinealoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 424.395969673678557). MESHID: D004407	PMID:1509343; PMID:7370955; PMID:1580743; PMID:6868898; PMID:6179720	HPO	11.05.2015
DOID-DOID:0004441	Dysgerminoma					HP:0000786	Primary amenorrhea			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 271.4880541906162532). MESHID: D004407	PMID:22268289; PMID:7193412; PMID:1797370; PMID:6654183; PMID:7443119	HPO	11.05.2015
DOID-DOID:0004441	Dysgerminoma					HP:0000718	Aggressive behavior			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 256.111407679525772). MESHID: D004407	PMID:7281474; PMID:1842033; PMID:3529957; PMID:3810227; PMID:1695873	HPO	11.05.2015
