Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
DOID-DOID:0003565	Meningeal Neoplasms					HP:0002858	Meningioma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 25572.849126347042/4829). MESHID: D008577	PMID:3953323;PMID:12416543;PMID:15455215;PMID:4080083;PMID:20685720	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0001287	Meningitis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 7302.468172527653/1641). MESHID: D008577	PMID:18781044;PMID:1488536;PMID:2030355;PMID:12416549;PMID:2364634	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0100009	Intracranial meningioma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 5932.8381417224755/795). MESHID: D008577	PMID:3953328;PMID:11117866;PMID:2736555;PMID:14723263;PMID:2614980	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0002331	Headache (with pheochromocytoma)			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 2229.061966716432/474). MESHID: D008577	PMID:4080083;PMID:19093186;PMID:14723271;PMID:14558492;PMID:23402336	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0009733	Glioma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 2203.0183451061994/457). MESHID: D008577	PMID:15084779;PMID:14643909;PMID:641568;PMID:19208905;PMID:8929501	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0000718	Aggressive behavior			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1927.9497633653186/542). MESHID: D008577	PMID:20685720;PMID:11117866;PMID:20139503;PMID:17912429;PMID:7991087	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0001067	Neurofibromas			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1529.0514875694892/265). MESHID: D008577	PMID:20809251;PMID:7694637;PMID:15823685;PMID:21845369;PMID:9842134	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0009588	Vestibular Schwannoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1444.334132630869/225). MESHID: D008577	PMID:22921979;PMID:10329752;PMID:21036488;PMID:9498252;PMID:15823685	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0100008	Schwannoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1416.6072380533285/240). MESHID: D008577	PMID:2176606;PMID:16432782;PMID:15329020;PMID:17021734;PMID:10201312	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0100843	Glioblastoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1399.7549400735602/275). MESHID: D008577	PMID:11304041;PMID:11762340;PMID:3028046;PMID:12948471;PMID:12948478	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0001250	Seizures			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1347.393235792379/305). MESHID: D008577	PMID:3953328;PMID:15586607;PMID:2030355;PMID:9816572;PMID:14592630	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0009592	Astrocytoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1272.8526209203171/225). MESHID: D008577	PMID:19353840;PMID:7877454;PMID:2158115;PMID:2338559;PMID:8310388	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0000969	Edema			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1255.0093838755363/292). MESHID: D008577	PMID:12167453;PMID:9802501;PMID:4012196;PMID:10072673;PMID:758370	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0002665	Lymphoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1225.7768261622884/362). MESHID: D008577	PMID:18781044;PMID:7944502;PMID:19255307;PMID:4010883;PMID:12480013	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0002181	Cerebral edema			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1222.6335126704291/212). MESHID: D008577	PMID:8929501;PMID:17961043;PMID:18807593;PMID:20339511;PMID:21701104	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0100010	Spinal meningioma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1197.6999819321313/132). MESHID: D008577	PMID:6621765;PMID:17961038;PMID:8426695;PMID:8133996;PMID:18421413	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0002893	Pituitary adenoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 965.6459554667898/158). MESHID: D008577	PMID:9802501;PMID:22921979;PMID:7207813;PMID:2675917;PMID:9498252	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0002861	Melanoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 944.2186148825664/228). MESHID: D008577	PMID:14723271;PMID:8929501;PMID:11562042;PMID:19449182;PMID:16115553	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0003002	Breast carcinoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 913.057687227932/287). MESHID: D008577	PMID:7784418;PMID:18811763;PMID:1722000;PMID:7694637;PMID:17345022	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0001269	Hemiparesis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 864.4000087067608/140). MESHID: D008577	PMID:2017298;PMID:1870670;PMID:18769902;PMID:2395513;PMID:10622458	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0100006	Neoplasm of the central nervous system			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 831.4993905908276/110). MESHID: D008577	PMID:23276705;PMID:8803310;PMID:19449182;PMID:23208918;PMID:12163391	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0002885	Medulloblastoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 799.8734124537812/131). MESHID: D008577	PMID:19744046;PMID:11304041;PMID:11762340;PMID:8280830;PMID:9347977	HPO	11.05.2015
DOID-DOID:0003565	Meningeal Neoplasms					HP:0001909	Leukemia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 794.301387320436/179). MESHID: D008577	PMID:18781044;PMID:6992074;PMID:6704975;PMID:1722000;PMID:6713363	HPO	11.05.2015
