Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
DOID-DOID:0003304	Germinoma					HP:0100620	Germinoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 3820.7342192809165/515). MESHID: D018237	PMID:18623206;PMID:8299704;PMID:8857648;PMID:20965731;PMID:8165502	HPO	11.05.2015
DOID-DOID:0003304	Germinoma					HP:0010788	Testicular neoplasm			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 2419.042086442247/385). MESHID: D018237	PMID:15245815;PMID:20026812;PMID:8618292;PMID:9285688;PMID:9123720	HPO	11.05.2015
DOID-DOID:0003304	Germinoma					HP:0009792	Teratoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 2193.2372652693693/388). MESHID: D018237	PMID:9657016;PMID:9191534;PMID:16626306;PMID:10636515;PMID:14585229	HPO	11.05.2015
DOID-DOID:0003304	Germinoma					HP:0010799	Pinealoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 722.2177027780143/97). MESHID: D018237	PMID:14628246;PMID:7514435;PMID:10842052;PMID:9732256;PMID:20949306	HPO	11.05.2015
DOID-DOID:0003304	Germinoma					HP:0100621	Dysgerminoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 577.5326682927889/75). MESHID: D018237	PMID:10636515;PMID:8091071;PMID:7514435;PMID:7661594;PMID:8123449	HPO	11.05.2015
DOID-DOID:0003304	Germinoma					HP:0100768	Choriocarcinoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 512.913172473924/81). MESHID: D018237	PMID:7621717;PMID:8137224;PMID:15842635;PMID:15361705;PMID:9597871	HPO	11.05.2015
DOID-DOID:0003304	Germinoma					HP:0000028	Cryptorchidism			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 377.41137601469296/55). MESHID: D018237	PMID:20026812;PMID:15172357;PMID:12752252;PMID:15661565;PMID:16908459	HPO	11.05.2015
DOID-DOID:0003304	Germinoma					HP:0000873	Diabetes insipidus			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 356.072274880189/51). MESHID: D018237	PMID:16010454;PMID:7495660;PMID:10770654;PMID:11738669;PMID:21918862	HPO	11.05.2015
DOID-DOID:0003304	Germinoma					HP:0100728	Germ cell neoplasia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 310.4278841803468/33). MESHID: D018237	PMID:12379753;PMID:12385020;PMID:16908459;PMID:11832725;PMID:9524579	HPO	11.05.2015
DOID-DOID:0003304	Germinoma					HP:0002665	Lymphoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 257.34541101749704/76). MESHID: D018237	PMID:11074650;PMID:15373725;PMID:10376430;PMID:9532413;PMID:12597960	HPO	11.05.2015
DOID-DOID:0003304	Germinoma					HP:0000238	Hydrocephalus			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 256.8615677135315/47). MESHID: D018237	PMID:14628246;PMID:14631524;PMID:20949306;PMID:7555239;PMID:15327234	HPO	11.05.2015
DOID-DOID:0003304	Germinoma					HP:0000863	Central diabetes insipidus			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 251.72607369149745/31). MESHID: D018237	PMID:9275343;PMID:10206125;PMID:16565852;PMID:15277979;PMID:18277371	HPO	11.05.2015
