Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
DOID-DOID:0004974	Actinobacillosis					HP:0100760	Clubbing of toes			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 38.312281645859845). MESHID: D000187	PMID:7442815; PMID:7018487; PMID:19687629; PMID:2321347; PMID:2266054	HPO	11.05.2015
DOID-DOID:0004974	Actinobacillosis					HP:0000031	Epididymitis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 21.2385368662369133). MESHID: D000187	PMID:23514236; PMID:10684692; PMID:3963577	HPO	11.05.2015
DOID-DOID:0004974	Actinobacillosis					HP:0002090	Pneumonia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 11.0007437440525513). MESHID: D000187	PMID:12141310; PMID:369036; PMID:962735	HPO	11.05.2015
