Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000007												IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000028												IEA	25.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000047		FMA:19650		PATO:0001920								IEA	25.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000054		FMA:9707		PATO:0000587								IEA	25.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000057												IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000126		FMA:15575		PATO:0001571								IEA	25.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000143		FMA:14544		MPATH:70		FMA:19949						IEA	18.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000374		FMA:65132		HP:0000404								IEA	75.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000430		FMA:59502		PATO:0000645								IEA	100.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000444												IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000486												IEA	7.5000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000819												IEA	7.5000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000821												IEA	30.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000954												IEA	7.5000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0000957												IEA	7.5000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001092												IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001153		FMA:19949		PATO:0001786								IEA	25.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001249												IEA	67.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001252		FMA:30316		PATO:0001619								IEA	80.0000 %	PATO:0001869					17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001362				PATO:0000001								IEA	7.5000 %	PATO:0000460					17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001366		FMA:46565		PATO:0000587								IEA	50.0000 %	PATO:0000394					17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001388												IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001508												IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001509		FMA:20394		PATO:0000569								IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001515												IEA	60.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001518												IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001545		FMA:15711		PATO:0001821								IEA	40.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001597				PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001629		FMA:7133		PATO:0000609								IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001631												IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001696				PATO:0000625								IEA	7.5000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0001738		FMA:16017		PATO:0001628								IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0002023		FMA:15711		PATO:0001819								IEA	40.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0002024		GO:0050892		PATO:0000001								IEA	100.0000 %	PATO:0000460					17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0002236												IEA	96.0000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0002253		FMA:14543		PATO:0002002		MPATH:68						IEA	7.5000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0002557		FMA:67771		PATO:0000645								IEA	7.5000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0002750		GO:0070977		PATO:0000911								IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0002901		FMA:62970		PATO:0001163		CHEBI:22984						IEA							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0003362												IEA	7.5000 %						17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0003819												ITM							17.02.2009	
MIM:243800	JOHANSON-BLIZZARD SYNDROME	MIM:605981			UBR1	HP:0004209		FMA:24949		HP:0001157								IEA	7.5000 %						17.02.2009	
