Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0000007												IEA							17.02.2009	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0000280		FMA:24728		PATO:0000700								IEA							17.02.2009	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0000365												IEA							17.02.2009	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0000515		FMA:58238		PATO:0000963								IEA							17.02.2009	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0000524												IEA							17.02.2009	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0000943												IEA							17.02.2009	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0000951		FMA:7163		PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0001249												IEA							17.02.2009	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0001250												IEA							17.02.2009	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0001433		_:liver_and_spleen		PATO:0000586								ITM							17.02.2009	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0001516												IEA							17.02.2009	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0001626				PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:256540	NEURAMINIDASE DEFICIENCY WITH BETA-GALACTOSIDASE DEFICIENCY					HP:0003644												ITM							17.02.2009	
