Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0000153				PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0000501												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0000554		GO:0006954		PATO:0000912								IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0000613												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0000622												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0000924				PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0001094												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0001420												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0001486												ITM							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0001744		FMA:7196		PATO:0000586								ITM							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0001824												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0001945												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0002039												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0002094												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0002150		FMA:12274		PATO:0001162		CHEBI:22984						IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0002240		FMA:7197		PATO:0000586								ITM							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0002852												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0003565												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0003667												ITM							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0005397												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0006530												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0006567												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0007734		FMA:59101		PATO:0000586								IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0007806												IEA							17.02.2009	
MIM:181000	SARCOIDOSIS	MIM:142857			HLA-DRB1	HP:0008940												IEA							17.02.2009	
