Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:605309	MACROCEPHALY/AUTISM SYNDROME					HP:0000006												IEA							17.02.2009	
MIM:605309	MACROCEPHALY/AUTISM SYNDROME					HP:0000254		FMA:63864		PATO:0000001								IEA							17.02.2009	
MIM:605309	MACROCEPHALY/AUTISM SYNDROME					HP:0000337		FMA:63864		PATO:0000600								IEA							17.02.2009	
MIM:605309	MACROCEPHALY/AUTISM SYNDROME					HP:0000343		FMA:59819		PATO:0000573								IEA							17.02.2009	
MIM:605309	MACROCEPHALY/AUTISM SYNDROME					HP:0000425		FMA:52745		PATO:0000407								IEA							17.02.2009	
MIM:605309	MACROCEPHALY/AUTISM SYNDROME					HP:0000717												IEA							17.02.2009	
MIM:605309	MACROCEPHALY/AUTISM SYNDROME					HP:0001263												IEA							17.02.2009	
MIM:605309	MACROCEPHALY/AUTISM SYNDROME					HP:0001513												IEA							17.02.2009	
MIM:605309	MACROCEPHALY/AUTISM SYNDROME					HP:0003196		FMA:46472		PATO:0000645								IEA							17.02.2009	
MIM:605309	MACROCEPHALY/AUTISM SYNDROME					HP:0004422												IEA							17.02.2009	
MIM:605309	MACROCEPHALY/AUTISM SYNDROME					HP:0005490												IEA							17.02.2009	
