Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000007												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000079												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000156												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000210		FMA:54396		PATO:0000587								IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000213		FMA:59816		PATO:0000592								IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000215		FMA:59817		PATO:0001482								IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000252		FMA:46565		PATO:0000587								IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000286												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000314												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000340												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000343		FMA:59819		PATO:0000573								IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000405												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000431												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000463		FMA:72005		PATO:0001474								IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000508												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000518												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000925				PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0000939				_:increased_bone_resorption_and__:decreased_osteogenesis								IEA		PATO:0001869					17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0001080		FMA:79646		PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0001249												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0001252		FMA:30316		PATO:0001619								IEA		PATO:0001869					17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0001406												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0001762												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0001770		FMA:25046		HP:0001159								IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0001927												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0001981												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0002756				HP:0002662								IEA		PATO:0001869					17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0002904												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0002910												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0003155												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0004823												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0005608												IEA							17.02.2009	
MIM:607330	LATHOSTEROLOSIS	MIM:602286			SC5DL	HP:0005808												IEA							17.02.2009	
