Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0000006												IEA							17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0000013		FMA:17558		PATO:0000645								IEA	36.8421 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0000028												IEA	36.8421 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0000046		FMA:18252		PATO:0000645								IEA	36.8421 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0000048		FMA:18252		PATO:0000403								IEA	36.8421 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0000059												IEA	36.8421 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0000175		FMA:54549		PATO:0000403								IEA	92.9825 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0000196												IEA	45.6140 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0000204		FMA:59816		PATO:0000403								IEA	57.8947 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0000726												IEA	36.8421 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0001762												IEA	14.0351 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0003298												IEA	7.5000 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0008726		FMA:19949		PATO:0000645								IEA							17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0009754												IEA	40.3509 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0009755												IEA	17.5439 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0009756												IEA	57.8947 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0009757												IEA	8.7719 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0009758												IEA	33.3333 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0010554												IEA	50.8772 %						17.02.2009	
MIM:119500	POPLITEAL PTERYGIUM SYNDROME	MIM:607199			IRF6	HP:0010554												ITM							17.02.2009	
