Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:256050		MIM:606718			SLC26A2	HP:0000007																			
MIM:256050		MIM:606718			SLC26A2	HP:0000175		FMA:54549		PATO:0000403															
MIM:256050		MIM:606718			SLC26A2	HP:0000210		FMA:54396		PATO:0000587															
MIM:256050		MIM:606718			SLC26A2	HP:0000272		FMA:52747		PATO:0000645															
MIM:256050		MIM:606718			SLC26A2	HP:0000425		FMA:52745		PATO:0000407															
MIM:256050		MIM:606718			SLC26A2	HP:0000470		FMA:7155		PATO:0000574															
MIM:256050		MIM:606718			SLC26A2	HP:0000926				PATO:0000407									PATO:0001869						
MIM:256050		MIM:606718			SLC26A2	HP:0001590		FMA:9576		PATO:0000587															
MIM:256050		MIM:606718			SLC26A2	HP:0001625																			
MIM:256050		MIM:606718			SLC26A2	HP:0001762																			
MIM:256050		MIM:606718			SLC26A2	HP:0001852																			
MIM:256050		MIM:606718			SLC26A2	HP:0001939		GO:0008152		PATO:0000001									PATO:0000460						
MIM:256050		MIM:606718			SLC26A2	HP:0002089		FMA:68877		PATO:0000645															
MIM:256050		MIM:606718			SLC26A2	HP:0002093		FMA:7158		PATO:0001628															
MIM:256050		MIM:606718			SLC26A2	HP:0002644				PATO:0000001									PATO:0000460						
MIM:256050		MIM:606718			SLC26A2	HP:0002650				PATO:0002049									PATO:0001869						
MIM:256050		MIM:606718			SLC26A2	HP:0002654		HP:0002656		PATO:0000470															
MIM:256050		MIM:606718			SLC26A2	HP:0002938		FMA:75791		PATO:0002017															
MIM:256050		MIM:606718			SLC26A2	HP:0002947		FMA:24138		HP:0002808									PATO:0001869						
MIM:256050		MIM:606718			SLC26A2	HP:0003030																			
MIM:256050		MIM:606718			SLC26A2	HP:0003440		FMA:16202		PATO:0001855															
MIM:256050		MIM:606718			SLC26A2	HP:0006375																			
MIM:256050		MIM:606718			SLC26A2	HP:0010240		FMA:35483		PATO:0000645															
