Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:258480	OPSISMODYSPLASIA					HP:0000007												IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0000239		FMA:75438		PATO:0000586								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0000254		FMA:63864		PATO:0000001								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0000256		FMA:46565		PATO:0000586								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0000316		FMA:54450		PATO:0000374		FMA:54449						IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0000343		FMA:59819		PATO:0000573								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0000425		FMA:52745		PATO:0000407								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0000463		FMA:72005		PATO:0001474								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0000470		FMA:7155		PATO:0000574								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0000774		FMA:9576		PATO:0000599								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0000887												IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0001165		FMA:9712		PATO:0000587								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0001252		FMA:30316		PATO:0001619								IEA		PATO:0001869					17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0001462												IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0001516												ITM							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0001561												IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0001591												IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0001766		FMA:9664		PATO:0000574								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0002205												IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0002968												IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0003021												IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0003171												IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0003173		FMA:16595		PATO:0000645								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0003175												IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0003177												IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0003196		FMA:46472		PATO:0000645								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0004565				PATO:0000001								IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0005052				HP:0003026								IEA		PATO:0000396					17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0006635												IEA							17.02.2009	
MIM:258480	OPSISMODYSPLASIA					HP:0008479		FMA:11945		PATO:0000645								IEA							17.02.2009	
