Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:243060		MIM:603495			AURKC	HP:0000007																			
MIM:243060		MIM:603495			AURKC	HP:0000069				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0000164				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0000256		FMA:46565		PATO:0000586															
MIM:243060		MIM:603495			AURKC	HP:0000464				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0000478				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0000598				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0000707				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0000769				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0000775				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0000925				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0000951		FMA:7163		PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001080		FMA:79646		PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001155				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001462																			
MIM:243060		MIM:603495			AURKC	HP:0001507		GO:0040007		PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001547		FMA:7480		PATO:0000051									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001595		FMA:53667		PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001597				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001600				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001626				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001732				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001739				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001743				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001760				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0001939		GO:0008152		PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0002644				PATO:0000001									PATO:0000460						
MIM:243060		MIM:603495			AURKC	HP:0003251																			
