Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:230000		MIM:612280			FUCA1	HP:0000007																			
MIM:230000		MIM:612280			FUCA1	HP:0000158		FMA:46689		PATO:0000584															
MIM:230000		MIM:612280			FUCA1	HP:0000170																			
MIM:230000		MIM:612280			FUCA1	HP:0000254		FMA:63864		PATO:0000001															
MIM:230000		MIM:612280			FUCA1	HP:0000280		FMA:24728		PATO:0000700															
MIM:230000		MIM:612280			FUCA1	HP:0000316		FMA:54450		PATO:0000374		FMA:54449													
MIM:230000		MIM:612280			FUCA1	HP:0000365																			
MIM:230000		MIM:612280			FUCA1	HP:0000445		FMA:46472		PATO:0000600															
MIM:230000		MIM:612280			FUCA1	HP:0000503																			
MIM:230000		MIM:612280			FUCA1	HP:0000574		FMA:71098		PATO:0000591															
MIM:230000		MIM:612280			FUCA1	HP:0000943																			
MIM:230000		MIM:612280			FUCA1	HP:0000970																			
MIM:230000		MIM:612280			FUCA1	HP:0001014																			
MIM:230000		MIM:612280			FUCA1	HP:0001249																			
MIM:230000		MIM:612280			FUCA1	HP:0001250																			
MIM:230000		MIM:612280			FUCA1	HP:0001252		FMA:30316		PATO:0001619									PATO:0001869						
MIM:230000		MIM:612280			FUCA1	HP:0001271																			
MIM:230000		MIM:612280			FUCA1	HP:0001372				HP:0001371															
MIM:230000		MIM:612280			FUCA1	HP:0001462																			
MIM:230000		MIM:612280			FUCA1	HP:0001509		FMA:20394		PATO:0000569															
MIM:230000		MIM:612280			FUCA1	HP:0001552		FMA:9576		PATO:0001898															
MIM:230000		MIM:612280			FUCA1	HP:0001640																			
MIM:230000		MIM:612280			FUCA1	HP:0001744		FMA:7196		PATO:0000586															
MIM:230000		MIM:612280			FUCA1	HP:0001922		FMA:62863		PATO:0000941															
MIM:230000		MIM:612280			FUCA1	HP:0001939		GO:0008152		PATO:0000001									PATO:0000460						
MIM:230000		MIM:612280			FUCA1	HP:0002059																			
MIM:230000		MIM:612280			FUCA1	HP:0002205																			
MIM:230000		MIM:612280			FUCA1	HP:0002240		FMA:7197		PATO:0000586															
MIM:230000		MIM:612280			FUCA1	HP:0002510																			
MIM:230000		MIM:612280			FUCA1	HP:0002650				PATO:0002049									PATO:0001869						
MIM:230000		MIM:612280			FUCA1	HP:0002673		FMA:32851		PATO:0000133		FMA:42385							PATO:0000460						
MIM:230000		MIM:612280			FUCA1	HP:0002938		FMA:75791		PATO:0002017															
MIM:230000		MIM:612280			FUCA1	HP:0004558		FMA:72063		PATO:0000407									PATO:0001869						
MIM:230000		MIM:612280			FUCA1	HP:0004630																			
MIM:230000		MIM:612280			FUCA1	HP:0005453				PATO:0001557		FMA:59679													
MIM:230000		MIM:612280			FUCA1	HP:0008436				PATO:0001557		FMA:20229													
