Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0000007												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0000023												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0000093		FMA:12274		PATO:0002002		CHEBI:16541						IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0000280		FMA:24728		PATO:0000700								IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0000282		FMA:24728		PATO:0001450								IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0000407												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0000529												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0000639												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0000943												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001250												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001252		FMA:30316		PATO:0001619								IEA		PATO:0001869					17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001310												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001324		FMA:5022		PATO:0001779								IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001336												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001347												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001350												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001462												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001509		FMA:20394		PATO:0000569								IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001541												ITM							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001624												ITM							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001638												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001640												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001744		FMA:7196		PATO:0000586								IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001789		EMAP:640		PATO:0001450								IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001922		FMA:62863		PATO:0000941								IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0001979												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0002240		FMA:7197		PATO:0000586								IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0002316												IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0002342												ITM							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0002658		FMA:24012		PATO:0001512								IEA							17.02.2009	
MIM:256550	NEURAMINIDASE DEFICIENCY	MIM:608272			NEU1	HP:0003202		FMA:5022		PATO:0001623								IEA							17.02.2009	
