Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000028												IEA							17.02.2009	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000046		FMA:18252		PATO:0000645								IEA							17.02.2009	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000047		FMA:19650		PATO:0001920								IEA							17.02.2009	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000054		FMA:9707		PATO:0000587								IEA							17.02.2009	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000076												IEA							17.02.2009	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000089		FMA:7203		PATO:0000645								IEA							17.02.2009	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000135												IEA							17.02.2009	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000156												IEA							17.02.2009	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000158		FMA:46689		PATO:0000584								IEA							17.02.2009	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000179		FMA:59818		PATO:0001482								IEA							17.02.2009	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000181												IEA							17.02.2009	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000186												IEA							17.02.2009	
MIM:309580	MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1	MIM:300032			ATRX	HP:0000194		FMA:49184		PATO:0000610								IEA							17.02.2009	
