Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:177990	PTERYGIUM COLLI, ISOLATED					HP:0000006												IEA							17.02.2009	
MIM:177990	PTERYGIUM COLLI, ISOLATED					HP:0000286												IEA							17.02.2009	
MIM:177990	PTERYGIUM COLLI, ISOLATED					HP:0000411		FMA:52781		PATO:0001644								IEA							17.02.2009	
MIM:177990	PTERYGIUM COLLI, ISOLATED					HP:0000465												IEA							17.02.2009	
MIM:177990	PTERYGIUM COLLI, ISOLATED					HP:0000973												ITM							17.02.2009	
MIM:177990	PTERYGIUM COLLI, ISOLATED					HP:0002162												IEA							17.02.2009	
MIM:177990	PTERYGIUM COLLI, ISOLATED					HP:0003196		FMA:46472		PATO:0000645								IEA							17.02.2009	
