Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0000007												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0000020												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0000718												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0000719												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0000727		FMA:61824		HP:0000726								IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0000734												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0000751												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0000757												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0000969				PATO:0001450								ITM							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0000990												ITM							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0001155				PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0001250												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0001257												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0001288												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0001336												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0001760				PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0002059												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0002127		FMA:84631		PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0002135		FMA:62514		PATO:0001447								IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0002167												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0002171		FMA:55675		PATO:0002002		FMA:54537						IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0002186												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0002319		FMA:86464		PATO:0000592								IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0002340		FMA:61833		PATO:0001623								IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0002352		FMA:241998		PATO:0000639								IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0002353												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0002476												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0002756				HP:0002662								IEA		PATO:0001869					17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0003447												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0003487												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0006939												IEA							17.02.2009	
MIM:221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY				TREM2, TYROBP	HP:0007150												IEA							17.02.2009	
