Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:253010		MIM:611458			GLB1	HP:0000007																			
MIM:253010		MIM:611458			GLB1	HP:0000023																			
MIM:253010		MIM:611458			GLB1	HP:0000154		FMA:49184		PATO:0000600															
MIM:253010		MIM:611458			GLB1	HP:0000281																			
MIM:253010		MIM:611458			GLB1	HP:0000303		FMA:46495		PATO:0001482															
MIM:253010		MIM:611458			GLB1	HP:0000365																			
MIM:253010		MIM:611458			GLB1	HP:0000515		FMA:58238		PATO:0000963															
MIM:253010		MIM:611458			GLB1	HP:0000670																			
MIM:253010		MIM:611458			GLB1	HP:0000683																			
MIM:253010		MIM:611458			GLB1	HP:0000687																			
MIM:253010		MIM:611458			GLB1	HP:0000884		FMA:7485		PATO:0001482															
MIM:253010		MIM:611458			GLB1	HP:0000904																			
MIM:253010		MIM:611458			GLB1	HP:0000926				PATO:0000407									PATO:0001869						
MIM:253010		MIM:611458			GLB1	HP:0000939				_:increased_bone_resorption_and__:decreased_osteogenesis									PATO:0001869						
MIM:253010		MIM:611458			GLB1	HP:0001223																			
MIM:253010		MIM:611458			GLB1	HP:0001388																			
MIM:253010		MIM:611458			GLB1	HP:0001398		FMA:7197		PATO:0000586									PATO:0000394						
MIM:253010		MIM:611458			GLB1	HP:0001462																			
MIM:253010		MIM:611458			GLB1	HP:0001740																			
MIM:253010		MIM:611458			GLB1	HP:0002091																			
MIM:253010		MIM:611458			GLB1	HP:0002318																			
MIM:253010		MIM:611458			GLB1	HP:0002650				PATO:0002049									PATO:0001869						
MIM:253010		MIM:611458			GLB1	HP:0002673		FMA:32851		PATO:0000133		FMA:42385							PATO:0000460						
MIM:253010		MIM:611458			GLB1	HP:0002808				PATO:0001468									PATO:0001869						
MIM:253010		MIM:611458			GLB1	HP:0002857																			
MIM:253010		MIM:611458			GLB1	HP:0003016		FMA:24014		PATO:0000600															
MIM:253010		MIM:611458			GLB1	HP:0003049		FMA:24922		HP:0001193															
MIM:253010		MIM:611458			GLB1	HP:0003053																			
MIM:253010		MIM:611458			GLB1	HP:0003277																			
MIM:253010		MIM:611458			GLB1	HP:0003300		FMA:71515		PATO:0001891															
MIM:253010		MIM:611458			GLB1	HP:0003307				HP:0002939									PATO:0002017						
MIM:253010		MIM:611458			GLB1	HP:0003308																			
MIM:253010		MIM:611458			GLB1	HP:0003311		FMA:24043		PATO:0000645															
MIM:253010		MIM:611458			GLB1	HP:0003500																			
MIM:253010		MIM:611458			GLB1	HP:0003625																			
MIM:253010		MIM:611458			GLB1	HP:0005292																			
MIM:253010		MIM:611458			GLB1	HP:0008300																			
