Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
OMIM:139600	HAIRY ELBOWS					HP:0000006	Autosomal dominant inheritance			IEA	IEA							OMIM:139600	HPO	2009.02.17
OMIM:139600	HAIRY ELBOWS					HP:0004322	Short stature			IEA	IEA							OMIM:139600	HPO	2009.02.17
OMIM:139600	HAIRY ELBOWS					HP:0004780	Hypertrichosis limited to elbows			IEA	IEA							OMIM:139600	HPO	2009.02.17
