Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
OMIM:234280	HALLUX VARUS AND PREAXIAL POLYSYNDACTYLY					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:234280	HPO	2009.02.17
OMIM:234280	HALLUX VARUS AND PREAXIAL POLYSYNDACTYLY					HP:0001159	Syndactyly			IEA	IEA							OMIM:234280	SKOEHLER	2010.06.20
OMIM:234280	HALLUX VARUS AND PREAXIAL POLYSYNDACTYLY					HP:0001177	Preaxial polydactyly (hands)			IEA	IEA							OMIM:234280	HPO	2009.02.17
OMIM:234280	HALLUX VARUS AND PREAXIAL POLYSYNDACTYLY					HP:0008080	Hallux varus			IEA	IEA							OMIM:234280	SKOEHLER	2010.06.18
OMIM:234280	HALLUX VARUS AND PREAXIAL POLYSYNDACTYLY					HP:0010055	Broad hallux			IEA	IEA							OMIM:234280	HPO	2009.02.17
