Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:608470	#608470 CORNEAL DYSTROPHY OF BOWMAN LAYER, TYPE I; CDB1;;CORNEAL DYSTROPHY, REIS-BUCKLERS TYPE; CDRB;;REIS-BUCKLERS CORNEAL DYSTROPHY; RBCD;;CORNEAL DYSTROPHY, GEOGRAPHIC;;GRANULAR CORNEAL DYSTROPHY, TYPE III				TGFBI	HP:0001131	Corneal dystrophy			TAS	TAS							OMIM:608470	HPO:probinson	Jan 9, 2013	
OMIM:608470	#608470 CORNEAL DYSTROPHY OF BOWMAN LAYER, TYPE I; CDB1;;CORNEAL DYSTROPHY, REIS-BUCKLERS TYPE; CDRB;;REIS-BUCKLERS CORNEAL DYSTROPHY; RBCD;;CORNEAL DYSTROPHY, GEOGRAPHIC;;GRANULAR CORNEAL DYSTROPHY, TYPE III				TGFBI	HP:0007759	Opacification of the corneal stroma			TAS	TAS							OMIM:608470	HPO:probinson	Feb 22, 2013	
OMIM:608470	#608470 CORNEAL DYSTROPHY OF BOWMAN LAYER, TYPE I; CDB1;;CORNEAL DYSTROPHY, REIS-BUCKLERS TYPE; CDRB;;REIS-BUCKLERS CORNEAL DYSTROPHY; RBCD;;CORNEAL DYSTROPHY, GEOGRAPHIC;;GRANULAR CORNEAL DYSTROPHY, TYPE III				TGFBI	HP:0000486	Strabismus			TAS	TAS							OMIM:608470	HPO:probinson	Feb 22, 2013	
OMIM:608470	#608470 CORNEAL DYSTROPHY OF BOWMAN LAYER, TYPE I; CDB1;;CORNEAL DYSTROPHY, REIS-BUCKLERS TYPE; CDRB;;REIS-BUCKLERS CORNEAL DYSTROPHY; RBCD;;CORNEAL DYSTROPHY, GEOGRAPHIC;;GRANULAR CORNEAL DYSTROPHY, TYPE III				TGFBI	HP:0200020	Corneal erosions			PCS	PCS							pmid:16606891	HPO:probinson	Feb 22, 2013	
OMIM:608470	#608470 CORNEAL DYSTROPHY OF BOWMAN LAYER, TYPE I; CDB1;;CORNEAL DYSTROPHY, REIS-BUCKLERS TYPE; CDRB;;REIS-BUCKLERS CORNEAL DYSTROPHY; RBCD;;CORNEAL DYSTROPHY, GEOGRAPHIC;;GRANULAR CORNEAL DYSTROPHY, TYPE III				TGFBI	HP:0000613	Photophobia			PCS	PCS							pmid:16606891	HPO:probinson	Feb 22, 2013	
OMIM:608470	#608470 CORNEAL DYSTROPHY OF BOWMAN LAYER, TYPE I; CDB1;;CORNEAL DYSTROPHY, REIS-BUCKLERS TYPE; CDRB;;REIS-BUCKLERS CORNEAL DYSTROPHY; RBCD;;CORNEAL DYSTROPHY, GEOGRAPHIC;;GRANULAR CORNEAL DYSTROPHY, TYPE III				TGFBI	HP:0000006	Autosomal dominant inheritance			PCS	PCS							pmid:9054935	HPO:probinson	Feb 22, 2013	
