Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
OMIM:203760	ALPHA-2-DEFICIENT COLLAGEN DISEASE					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:203760	HPO	2009.02.17
OMIM:203760	ALPHA-2-DEFICIENT COLLAGEN DISEASE					HP:0001166	Arachnodactyly			IEA	IEA							OMIM:203760	HPO	2009.02.17
OMIM:203760	ALPHA-2-DEFICIENT COLLAGEN DISEASE					HP:0001519	Disproportionate tall stature			IEA	IEA							OMIM:203760	HPO	2009.02.17
OMIM:203760	ALPHA-2-DEFICIENT COLLAGEN DISEASE					HP:0001939	Abnormality of metabolism/homeostasis			IEA	IEA							OMIM:203760	HPO	2009.02.17
