Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:242550	ICHTHYOSIS, SPLIT HAIRS, AND AMINO ACIDURIA					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:242550	HPO	Feb 17, 2009	
OMIM:242550	ICHTHYOSIS, SPLIT HAIRS, AND AMINO ACIDURIA					HP:0001249	Intellectual disability			IEA	IEA							OMIM:242550	HPO	Feb 17, 2009	
OMIM:242550	ICHTHYOSIS, SPLIT HAIRS, AND AMINO ACIDURIA					HP:0001595	Abnormality of the hair			IEA	IEA							OMIM:242550	HPO	Feb 17, 2009	
OMIM:242550	ICHTHYOSIS, SPLIT HAIRS, AND AMINO ACIDURIA					HP:0003355	Aminoaciduria			IEA	IEA							OMIM:242550	HPO	Feb 17, 2009	
OMIM:242550	ICHTHYOSIS, SPLIT HAIRS, AND AMINO ACIDURIA					HP:0007431	Congenital ichthyosiform erythroderma			TAS	TAS							OMIM:242550	HPO:skoehler	Feb 17, 2009	
